"experiment","tray","row","column","block","genotype"
"1001G",7,1,10,37,"6046"
"1001G",7,1,11,37,"6017"
"1001G",7,2,1,38,"6184"
"1001G",7,2,2,38,"6244"
"1001G",7,2,3,38,NA
"1001G",7,2,4,38,"6237"
"1001G",7,2,5,38,"6046"
"1001G",7,2,6,38,"6092"
"1001G",7,2,7,38,"6017"
"1001G",7,2,8,38,"8231"
"1001G",7,2,9,38,"6125"
"1001G",7,2,10,38,"6024"
"1001G",7,2,11,38,"1158"
"1001G",7,3,1,39,"6046"
"1001G",7,3,2,39,"6244"
"1001G",7,3,3,39,"1158"
"1001G",7,3,4,39,"8231"
"1001G",7,3,5,39,"6237"
"1001G",7,3,6,39,"6024"
"1001G",7,3,7,39,"6184"
"1001G",7,3,8,39,"6092"
"1001G",7,3,9,39,"6017"
"1001G",7,3,10,39,"6125"
"1001G",7,3,11,39,NA
"1001G",7,4,1,40,"6237"
"1001G",7,4,2,40,"6244"
"1001G",7,4,3,40,"6017"
"1001G",7,4,4,40,"1158"
"1001G",7,4,5,40,"6024"
"1001G",7,4,6,40,"6046"
"1001G",7,4,7,40,"6092"
"1001G",7,4,8,40,"8231"
"1001G",7,4,9,40,"6184"
"1001G",7,4,10,40,"6125"
"1001G",7,4,11,40,NA
"1001G",7,5,1,41,"6024"
"1001G",7,5,2,41,"6017"
"1001G",7,5,3,41,"6184"
"1001G",7,5,4,41,"6125"
"1001G",7,5,5,41,NA
"1001G",7,5,6,41,"6237"
"1001G",7,5,7,41,"8231"
"1001G",7,5,8,41,"6092"
"1001G",7,5,9,41,"1158"
"1001G",7,5,10,41,"6046"
"1001G",7,5,11,41,"6244"
"1001G",7,6,1,42,"6244"
"1001G",7,6,2,42,"6237"
"1001G",7,6,3,42,"6017"
"1001G",7,6,4,42,"6024"
"1001G",7,6,5,42,"6046"
"1001G",7,6,6,42,NA
"1001G",7,6,7,42,"1158"
"1001G",7,6,8,42,"6184"
"1001G",7,6,9,42,"6092"
"1001G",7,6,10,42,"8231"
"1001G",7,6,11,42,"6125"
"1001G",8,1,1,43,"6024"
"1001G",8,1,2,43,"8231"
"1001G",8,1,3,43,"1158"
"1001G",8,1,4,43,"6184"
"1001G",8,1,5,43,"6244"
"1001G",8,1,6,43,NA
"1001G",8,1,7,43,"6092"
"1001G",8,1,8,43,"6237"
"1001G",8,1,9,43,"6017"
"1001G",8,1,10,43,"6125"
"1001G",8,1,11,43,"6046"
"1001G",8,2,1,44,"6024"
"1001G",8,2,2,44,"6046"
"1001G",8,2,3,44,NA
"1001G",8,2,4,44,"6125"
"1001G",8,2,5,44,"6184"
"1001G",8,2,6,44,"6017"
"1001G",8,2,7,44,"8231"
"1001G",8,2,8,44,"6092"
"1001G",8,2,9,44,"6244"
"1001G",8,2,10,44,"6237"
"1001G",8,2,11,44,"1158"
"1001G",8,3,1,45,"6092"
"1001G",8,3,2,45,"1158"
"1001G",8,3,3,45,"6017"
"1001G",8,3,4,45,"6237"
"1001G",8,3,5,45,"6244"
"1001G",8,3,6,45,NA
"1001G",8,3,7,45,"6024"
"1001G",8,3,8,45,"6125"
"1001G",8,3,9,45,"6184"
"1001G",8,3,10,45,"6046"
"1001G",8,3,11,45,"8231"
"1001G",8,4,1,46,"6125"
"1001G",8,4,2,46,"6184"
"1001G",8,4,3,46,"6237"
"1001G",8,4,4,46,"6092"
